Author,Quote,Topic,Tags
F,"A Magnificent Banquet, being A Thanksgiving for the Safe ReturnOf our Beloved Daughter,Princess Esmeralda.Bring your own plates.",,
A,"A magpie, seeing some light-colored object conspicuous on the empty slope, flew closer to look. but all that lay there was a splintered peg and a twisted length of wire.",,
B,"A major assumption that underlies this selection is that it is only within work that is progressive, experimental or avant-garde that staid, old-fashioned images and ideas about gender can be challenged and alternatives imagined. I have never seen a ballet performance that has not disappointed me.",,
C,"A major challenge we face today, therefore, is to create a desire in people to learn; and to foster and facilitate this desire throughout their lives.",,
D,A major source of objection to a free economy is precisely that it gives people what they want instead of what a particular group thinks they ought to want. Underlying most arguments against the free market is a lack of belief in freedom itself.,,
A,"A majority of young people seem to develop mental arteriosclerosis forty years before they get the physical kind. Another question: why do some people remain open and elastic into extreme old age, whereas others become rigid and unproductive before they're fifty?",,
B,"A male chauvinist pig isn't born, he's made, and more and more of them are being made by women.",,
C,A male frigate bird blows up a wild red pouch on his neck. He can keep it puffed up for hours. It is his way of impressing the girls.,,
D,"A male usually had made up his mind before you began to talk to him -so why bother?- but a female, because her mind was more supple, was always prepared to become more disappointed in you than she had yet suspected possible.",,
E,A malign star kept him.,,
F,A man agrees with god as a raindrop agrees with the storm,,
A,A man always assumes that others are as virtuous as himself,,
B,"A man always has two reasons for what he does--a good one, and the real one.",,
C,A man always imagines a woman to be ready for anybody who asks her.,,
D,"A man and woman in search of something are always blown apart, but it's the same wind that blows them.",,
E,"A man attaches himself to woman -- not to enjoy her, but to enjoy himself. ",,
F,"A man becomes a Mahadev, only when he fights for good. A Mahadev is not born from his mother's womb. He is forged in the heat of battle, when he wages a war to destroy evil. Har Har Mahadev - All of us are Mahadev.",,
A,A man begins cutting his wisdom teeth the first time he bites off more than he can chew.,,
B,"A man begins dying at the moment of his birth. Most People live in denial of Death's patient courtship until, late in life and deep in sickness, they become aware of him sitting bedside.",,
C,"A man being sometimes more generous when he has but a little money than when he has plenty, perhaps thro' fear of being thought to have but little.",,
D,"A man builds a fine house; and now he has a master, and a task for life.",,
E,"A man by his sin may waste himself, which is to waste that which on earth is most like God. This is man's greatest tragedy and God's heaviest grief.",,
F,A man came up to me the other day and said he hadn't had a bite in weeks. So you know what I did? I walked by him like he didn't even exist.,,
A,A man can be destroyed but not defeated.,,
B,a man can be given only what he can use; and he can use only that for which he has sacrificed something,,
C,A man can be happy with any woman as long as he does not love her.,,
D,"A man can be himself only so long as he is alone; and if he does not love solitude, he will not love freedom; for it is only when he is alone that he is really free.",,
A,A Man can Choose what he wants to be. A Gentleman doesn't have a Choice.,,
B,"A man can fail many times, but he isn't a failure until he begins to blame somebody else.",,
C,A man can get killed in there.,,
D,"A man can know his father, or his son, and there might still be nothing between them but loyalty and love and mutual incomprehension.",,
E,A man can laugh while he suffers.,,
F,"A man can lead a reasonably full life without a family, a fixed local residence, or a religious affiliation, but if he is stateless he is nothing. He has no rights, no security, and little opportunity for a useful career. There is no salvation on earth outside the framework of an organized state.",,
A,"A man can learn much, but learning is not knowledge. The only true source of infallible certainity is divine illumination.",,
B,"A man can live and be healthy without killing animals for food; therefore, if he eats meat, he participates in taking animal life merely for the sake of his appetite. And to act so is immoral.",,
C,A man can live free and not seek to limit the freedom of others so long as no one seeks to limit his.,,
D,A man can live on his wits and his balls for only so long.,,
E,"A man can make money but, money can't make a man.",,
F,A man can never compete with a woman's father,,
A,"A man can never have too much red wine, too many books, or too much ammunition",,
B,A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word 'darkness' on the walls of his cell.,,
C,"A man can only lead when others accept him as their leader, and he has only as much authority as his subjects give to him. All of the brilliant ideas in the world cannot save your kingdom if no one will listen to them.",,
D,"A man can only rise, conquer, and achieve by lifting up his thoughts.",,
E,"A man can reach the heights of the Super-Man by entering the field of supra-sexuality, by knowing how to enjoy love, by knowing how to enjoy a woman, by knowing how to live with joy or with more emotion and less useless reasoning.",,
F,"A man can see a hundred women, lust for a thousand more, but it is one scent that will open his eyes and turn him to love.",,
A,"A man can see by starlight, if he takes the time.",,
B,"A man can sleep around, no questions asked, but if a woman makes nineteen or twenty mistakes she's a tramp.",,
C,A man can smile and smile and be a villain.,,
D,"A man can spend his whole existence never learning the simple lesson that he has only one life and that if he fails to do what he wants with it, nobody else really cares.-- Louis Auchincloss",,
A,"A man can stand a lot as long as he can stand himself. He can live without hope, without friends, without books, even without music, as long as he can listen to his own thoughts.",,
B,A man can succeed at almost anything for which he has unlimited enthusiasm.,,
C,A man can suffocate on courtesy.,,
D,A man can take only so much. Even a phony man like me.,,
E,A man does what he can; a woman does what a man cannot.,,
F,A man cannot be too careful in the choice of his enemies.,,
A,a man cannot embrace a woman's faults until he loves her. A woman embraces the faults and then falls in love.,,
B,A man can't be angry at his own time without suffering some damage.,,
C,"A man can't hit a woman and stay a man. He becomes a loathsome thing, even to himself. But the woman who stays with such a man panders to his darkness. They both risk their souls.",,
D,A man can't ride your back unless it's bent,,
E,"A man can't soar too high, when he flies with his own wings.",,
F,"A man conscious of enthusiasm for worthy aims is sustained under petty hostilities by the memory of great workers who had to fight their way not without wounds, and who hover in his mind as patron saints, invisibly helping.",,
A,A man convinced against his will Is of the same opinion still,,
B,A man could be content with bread alone if he'd never tasted anything else. But one taste of sugar and John knew he'd never know such sweetness again.,,
C,A man could get used to anything if he had to.,,
D,A man could no longer be private and withdrawn. The world allows no hermits.,,
E,"A man could not always be where he belonged, though.",,
F,"A man could rant and smash and grapple with the State Police, and still the sprinklers whirled at dusk on every lawn and the television droned in every living room.",,
A,"A man could settle down and still be inspired,"" he said. "" That's all it is. She's a woman who inspires.",,
B,A man could shoot a squirrel out of a tree from a distance of sixty feet. But he couldn't vomit into a bucket or pee into a pot only two feet away. It was one of the great mysteries of life.,,
C,"A man could shoot thirty ducks if it pleased him, and then shoot thirty more the next day, and it was perfectly legal. His hunting partner was likely to be the county sheriff.",,
D,A man descending is propelled by inertia; the only initiative left him is whether or not he decides to enjoy the passing scene.,,
A,"A man deserves a second chance, but keep an eye on him.",,
B,A man devoid of hope and conscious of being so has ceased to belong to the future.,,
C,A man dies when he refuses to stand up for that which is right.,,
D,A man does not have to be an angel to be a saint.,,
E,"A man does not have to feel less than human to realize his sin; oppositely, he has to realize that he gets no special vindication for his sin.",,
F,A man does not make his destiny: he accepts it or denies it.,,
A,"A man does not need to be a wizard to know truth from falsehood, not if he has eyes. You need only learn to read a face. Look at the eyes. The mouth. The muscles here, at the corners of the jaw, and here, where the neck joins the shoulders.",,
B,A man does not recover from such devotion of the heart to such a woman! He ought not; he does not.,,
C,"A man either lives life as it happens to him, meets it head-on and licks it, or he turns his back on it and starts to wither away.",,
D,"A man does what he must - in spite of personal consequences, in spite of obstacles and dangers and pressures - and that is the basis of all human morality.",,
E,"a man doesn't prove he's a man by getting an erection. He's only a real man if he can pleasure a woman. And if he can pleasure a prostitute, he'll think he's the best lover on the block"" - Nyah",,
F,"A man doesn't want to be rejected. We're really quite sensitive.' Sensitive?' She laughed, her head on one side. ' Sensitive egos you mean. Never met a man who didn't have one of those.",,
A,"A man enjoys the happiness he feels, a woman the happiness she gives.",,
B,A man is what he is and no fancy lodgings or fine clothes will change that ( Daniel Brennan),,
C,"A man faced death, but when death drew back forgot it until the next time.",,
D,A man falling into dark waters seeks a momentary footing even on sliding stones.,,
E,A man falling off a cliff to certain death will stretch out a hand even to his worst enemy.,,
F,"A man falls down a flight of stairs and somebody rushes over to him and asks, "" Did you miss a step?"" "" No,"" he answers, "" I hit every one of them!",,
A,"A man falls in love through his eyes, a woman through her ears.",,
B,A MAN FEAREDA man feared that he might find an assassin; Another that he might find a victim. One was more wise than the other.,,
C,"A man fell in love with Jeanne, and she tried to love him. But she complained that he uttered such ordinary words, that he could never say the magic phrase which would open her being.",,
D,"A man filled with the love of God, is not content with blessing his family alone, but ranges through the whole world, anxious to bless the whole human race.",,
A,"A man finds himself, to his great astonishment, suddenly existing, after thousands and thousands of years of non-existence: he lives for a little while; and then, again, comes an equally long period when he must exist no more. The heart rebels against this, and feels that it cannot be true.",,
B,"A man gives out, dearie. A woman takes in.",,
C,"A man goes to knowledge as he goes to war, wide awake, with fear, with respect, and with absolute assurance.",,
D,"A man goes to knowledge as he goes to war: wide-awake, with fear, with respect, and with absolute assurance. Going to knowledge or going to war in any other manner is a mistake, and whoever makes it might never live to regret it",,
E,"A man had given all other bliss, And all his worldly worth for this To waste his whole heart in one kiss Upon her perfect lips.",,
F,A man has a right to want to live.,,
A,A man has made at least a start on discovering the meaning of human life when he plants shade trees under which he knows full well he will never sit.,,
B,"A man has no business to be depressed by a disappointment, anyway; he ought to make up his mind to get even.",,
C,"A man has no religion who has not slowly and painfully gathered one together, adding to it, shaping it; and one's religion is never complete and final, it seems, but must always be undergoing modification.",,
D,"A man has to do what a man has to do, right?",,
E,A man has to know his limitations.,,
F,"A man has to live with himself, and he should see to it that he always has good company.",,
A,"A man in a cloud, with icicle teeth and eyes of fire.",,
B,A man in debt is so far a slave.,,
C,"A man in love can do extraordinary things, I don't care if you're an angel, you're my angel, and I won't let you go.",,
D,A man in love is incomplete until he has married. Then he's finished.,,
E,A man in love once never is out of love again,,
F,"A man in the jungle at night, as someone said, may suppose a hyena's growl to be a lion's; but when he hears the lion's growl, he knows damn well it's a lion.",,
A,"A man is a fool to live in hopes of a better tomorrow. I have a thousand, better ways today to spend what time remains ahead of me, and I have brighter, lighter and more pleasant places in which to spend it.",,
B,A man is a god in ruins.,,
C,A man is a penis-wrinkle when calling him a dickhead would be a compliment.,,
D,"A man is a success if he gets up in the morning and gets to bed at night, and in between he does what he wants to do.",,
A,"A man is a very small thing, and the night is very large and full of wonders.",,
B,A man is accepted into a church for what he believes and he is turned out for what he knows.,,
C,A man is an angel that has gone deranged.,,
D,"A man is an island in the only sense that matters, not an easy way to be. We live in mystery, a cosmos of separate lonely bodies, men, insects, stars. It is all loneliness and men know it best.",,
E,"A man is angry at a libel because it is false, but at a satire because it is true.",,
F,"A man is as free as he chooses to make himself, never an atom freer.",,
A,"A man is at his youngest when he thinks he is a man, not yet realizing that his actions must show it.",,
B,"A man is bound to make for himself in this world, that fortune which heaven had refused him at his birth.",,
C,"A man is but the product of his thoughts. What he thinks, he becomes.",,
D,"A man is called a traitor, or liberator. A rich man is a theif or philanthropist. Is one a crusader or ruthless invader? It's all in which label is able to persist.",,
E,"A man is fit for neither business nor pleasure, who either cannot, or does not, command and direct his attention to the present object, and, in some degree, banish for that time all other objects from his thoughts.",,
F,"A man is granted one question when god appears before him. How much do I have,"" the man asked, ""before I die?"" Enough time,"" God answers ""to make a difference.",,
A,A man is happy so long as he chooses to be happy.,,
B,"A man is held to be criminal,sometimes, by the great ones of the earth,not because he has committed a crime himself but because he knows of one which has been committed.",,
C,"A man is involved in life, leaves his impress on it, and outside of that there is nothing.",,
D,A man is just a life support system for assumptions.,,
E,A man is just a woman's strategy for making other women.,,
F,A man is known by the books he reads.,,
A,"A man is like a fraction whose numerator is what he is and whose denominator is what he thinks of himself. The larger the denominator, the smaller the fraction.",,
B,A man is like a novel: until the very last page you don't know how it will end. Otherwise it wouldn't even be worth reading.,,
C,"A man is likely to mind his own business when it is worth minding. When it is not, he takes his mind off his own meaningless affairs by minding other people's business.",,
D,"A man is literally what he thinks, his character being the complete sum of all his thoughts.",,
A,A man is lucky if he is the first love of a woman. A woman is lucky if she is the last love of a man.,,
B,A man is made in the rough-and-tumble of the world a lady emerges from the flossy back rooms of her own imagination.,,
C,A man is more a man through the things he keeps to himself than through those he says.,,
D,A man is more interested in a woman who is interested in him than he is in a woman-- any woman-- with beautiful legs.,,
E,A man is more than the sum of all the things he can do.,,
F,A man is never more truthful than when he acknowledges himself a liar.,,
A,A man is never so proud as when striking an attitude of humility.,,
B,A man is never such an egotist as at moments of spiritual ecstasy. At such times it seems to him that there is nothing on earth more splendid and interesting than himself.,,
C,a man is no example for a woman. It's a different thing.,,
D,A man is no less a slave because he is allowed to choose a new master once in a term of years.,,
E,"A man is not a bird, to come and go with the springtime.",,
F,A man is not an orange. You can't eat the fruit and throw the peel away.,,
A,"A man is not called wise because he talks and talks again; but if he is peaceful, loving and fearless then he is in truth called wise.",,
B,A man is not idle because he is absorbed in thought. There is visible labor and there is invisible labor.,,
C,A man is not measured by how much he can take and stand but by how fast he regains once fallen.,,
D,A man is not old until regrets take the place of dreams.,,
E,a man is not poor if he can still laugh,,
F,A man is not primarily a witness against something. That is only incidental to the fact that he is a witness for something.,,
A,a man is not really convinced of a philosophic theory when he finds that something proves it. He is only really convinced when he finds that everything proves it.,,
B,A man is only as good as what he loves.,,
C,A man is only as old as the woman he feels.,,
D,"A man is only as rich as the number of children he fathers. After all, what else do we leave behind in this world...",,
A,A man is rational in proportion as his intelligence informs and controls his desires.,,
B,A man is relieved and gay when he has put his heart into his work and done his best.,,
C,A man is responsible for his ignorance.,,
D,A man is rich in proportion to the number of things which he can afford to let alone.,,
E,"A man is ruled by appetite and remorse, and I swallowed what I could.",,
F,A man is saved no faster than he gains knowledge,,
A,A man is the sum of his actions.,,
B,A man is the sum of his misfortunes. One day you'd think misfortune would get tired but then time is your misfortune,,
C,"A man is truly a man when he wins the love of a good woman, earns her respect, and keeps her trust. Until you can do that, you're not a man.",,
D,A man is very apt to complain of the ingratitude of those who have risen far above him.,,
E,A man is what he has passion about.,,
F,A man like Dmitry was never irate. His coldness was only reflected in the manner in which he destroyed.,,
A,A man is what he thinks about all day long,,
B,A man is whole only when he takes into account his shadow.,,
C,A man kept his character even when he was insane.,,
D,A man killing himself in the pursuit of his dreams is no different in a moth flying into a flame.,,
E,"A man kills the thing he loves, and he must die a little himself.",,
F,"A man knows what he likes, so sex with some men is like sex with a mind reader, someone who knows exactly how you like it.",,
A,A man knows when he has found his vocation when he stops thinking about how to live and begins to live.,,
B,A man knows when he is growing old because he begins to look like his father.,,
C,A man learns to skate by staggering about and making a fool of himself. Indeed he progresses in all things by resolutely making a fool of himself.,,
D,"A man learns with age, if he is lucky.",,
A,"A man lies upon the floor, spreads his arms, and transforms himself into a ship of a thousand sails.",,
B,A man lives by thinking about action. A warrior lives by taking action.,,
C,"A man long accustomed to admire his wife in general, seldom pauses to admire her in a particular gown or attitude, unless his attention is directed to her by the appreciative gaze of another man.",,
D,A man living in a place that doesn't change doesn't expect it ever will.,,
E,"A man may be accused of cowardice for fleeing away from all manner of physical dangers but when things supernatural, insubstantial and inexplicable threaten not only his safety and well-being but his sanity, his innermost soul, then retreat is not a sign of weakness but the most prudent course.",,
F,A man loses contact with reality if he is not surrounded by his books.,,
A,A man loses his sense of direction after four drinks; a woman loses hers after four kisses.,,
B,A man lost to himself is lost to all.,,
C,A man loved by a beautiful woman will always get out of trouble.,,
D,A man loves a thing. That don't mean it's gotta love him back.,,
E,A man loves the meat in his youth that he cannot endure in his age.,,
F,"A man marries by accident, a woman by design.",,
A,A man may as well expect to grow stronger by always eating as wiser by always reading,,
B,"A man may ask anything of a woman, but unless he wishes to behave like a brute, he must make it possible for her to act in harmony with her deepest self-deceptions.",,
C,A man that flies from his fear may find that he has only taken a short cut to meet it.,,
D,A man may be said to love most truly that woman in whose company he can feel drowsy in comfort.,,
E,A man may be so much of everything that he is nothing of anything.,,
F,"A man may be very industrious, and yet not spend his time well. There is no more fatal blunderer than he who consumes the greater part of life getting his living.",,
A,"A man may debar nonsense from his library of reason, but not from the arena of his impulses.",,
B,"A man may die, nations may rise and fall, but an idea lives on. Ideas have endurance without death.",,
C,A man may fall many times but he won't be a failure until he says someone pushed him.,,
D,"A man may fish with the worm that hath eat of a king, and eat of the fish that hath fed of that worm",,
A,A man may go through life and remain ignorant of himself he may think himself as other than he truly is and he may die with this illusion still intact because no circumstance of his life has obliged him to revise it.,,
B,"A man may imagine things that are false, but he can only understand things that are true.",,
C,"A man may say, "" From now on I'm going to speak the truth."" But the truth hears him and runs away and hides before he's even done speaking.",,
D,"A man may stand for the justice of God, but a woman stands for His Mercy.",,
E,"A man may study because his brain is hungry for knowledge, even Bible knowledge. But he prays because his soul is hungry for God.",,
F,"A man may take to drink because he feels himself a failure, but then fail all the more completely because he drinks.",,
A,"A man might befriend a wolf, even break a wolf, but no man could truly tame a wolf.",,
B,"A man moves through time. It means nothing except that, like a harpoon, once thrown he will arrive.",,
C,A man must assume the moral burden of his own boredom.,,
D,"A man must at times be hard as nails: willing to face up to the truth about himself, and about the woman he loves, refusing compromise when compromise is wrong. But he must also be tender. No weapon will breach the armor of a woman's resentment like tenderness.",,
E,A man must be able to hold his drink because drunkenness is sometimes necessary in this difficult life.,,
F,"A man must be big enough to admit his mistakes, smart enough to profit from them, and strong enough to correct them.",,
A,A man must be both stupid and uncharitable who believes there is no virtue or truth but on his own side.,,
B,"A man must be prepared not only to be a martyr, but to be a fool. It is absurd to say that a man is ready to toil and die for his convictions if he is not even ready to wear a wreathe around his head for them.",,
C,"A man must be prepared to face life, as well as death, there's no escape from either.",,
D,"A man must dream a long time in order to act with grandeur, and dreaming is nursed in darkness.",,
E,"A man must feel he runs things, but as long as you control yourself, you control him.",,
F,"A man must find his occasions in himself, it is true. The natural day is very calm, and will hardly reprove his indolence.",,
A,"A man must have a good deal of vanity who believes, and a good deal of boldness who affirms, that all the doctrines he holds are true, and all he rejects are false.",,
B,"A man must have confidence in himself and his cock, to fuck a woman in the ass. If he does not have this control, his cock will direct the action; he will move too quickly, hurt the once-willing woman, and rarely, rightly, will he be given a second chance.",,
C,"A man must have vices, expensive ones if possible. Otherwise when he reaches old age he will have nothing to be redeemed from.",,
D,"A Man must make his opportunity,as oft as find it ",,
A,"A man must not be without shame, for the shame of being without shame is shamelessness indeed.",,
B,A man must shape himself to a new mark directly the old one goes to ground.,,
C,A man must walk only his own path... Never another's or his feet will grow tired and sore. And he will feel lost even when he arrives.,,
D,"A man must...not be content to do things well, but must also aim to do them gracefully.",,
E,"A man needs a little madness, or else... he never dares cut the rope and be free.",,
F,A man needs a woman more than a woman needs a man.,,
A,"A man needs enough...no less, no more. ",,
B,A man never describes his own character so clearly as when he describes another.,,
C,A man never discloses his character so clearly as when he descibes another's,,
D,A man of broad principles. Of liberal sentiments. Even a generous man... Yet one might say that his way through the world was so broad it scarcely made a path at all,,
E,A man of calm is like a shady tree. People who need shelter come to it.,,
F,"A man of character finds a special attractiveness in difficulty, since it is only by coming to grips with difficulty that he can realize his potentialities.",,
A,A man of character will make himself worthy of any position he is given.,,
B,A man of genius makes no mistakes. His errors are volitional and are the portals of discovery.,,
C,A man of honor does swiftly that which must be done.,,
D,"A man of humanity is one who, in seeking to establish himself, finds a foothold for others and who, in desiring attaining himself, helps others to attain.",,
E,"A man of knowledge lives by acting, not by thinking about acting. ",,
F,A man of logic is a man of sin.,,
A,"A man of ordinary talent will always be ordinary, whether he travels or not; but a man of superior talent will go to pieces if he remains forever in the same place.",,
B,"A man of over thirty might be held to be at the height of his powers, but not necessarily of his wisdom.",,
C,A man of quality is never threatened by a woman of equality.,,
D,A man of quality is not threatened by a woman with tofu.,,
A,"A man on a quest. A Don Quixote searching for his Dulcinea. But keep in mind my good friend, Don Quixote never found his Dulcinea, did he? He did not. There sometimes isn't much difference between a knight's quest and a fool's errand.",,
B,"A man on foot, on horseback or on a bicycle will see more, feel more, enjoy more in one mile than the motorized tourists can in a hundred miles.",,
C,"A man only learns in two ways, one by reading, and the other by association with smarter people. ",,
D,"A man ought not to value himself of his achievements or rare qualities of wit, much less of his riches, virtue or kindred.",,
E,A man ought to avow his opinions and defend them with boldness.,,
F,A man ought to read just as inclination leads him; for what he reads as a task will do him little good.,,
A,"A man painstakingly plans for every detail, carefully lays the foundations, picks his moments wisely and adds the right pieces with gusto only to be confronted a turn before the end of the race by a stubborn, more dead than alive, old man.",,
B,A man paints with his brains and not with his hands.,,
C,a man possessed with peace is always smiling,,
D,A man proposes to demonstrate to his woman how much he values her.,,
E,A man rarely knows the day and hour when he will die. I could be killed any moment and there's not a blasted thing I can do about it.,,
F,"A man remains ignorant because he loves ignorance, and chooses ignorant thoughts; a man becomes wise because he loves wisdom and chooses wise thoughts.",,
A,"A man reserves his true and deepest love not for the species of woman in whose company he finds himself electrified and enkindled, but for that one in whose company he may feel tenderly drowsy.",,
B,A man says a lot of things in summer he doesn't mean in winter.,,
C,"A man says something. Sometimes it turns out to be the truth, but this has nothing to do with the man who says it.",,
D,A man searching for paradise lost can seem a fool to those who never sought the other world.,,
E,A man sees in the world what he carries in his heart.,,
F,A man sets himself the task of portraying the world. Shortly before he dies he discovers that this patient labyrinth of lines is a drawing of his own face.,,
A,"A man should be able to hear, and to bear, the worst that could be said of him.",,
B,"a man should be just cultured enough to be able to look with suspicion upon culture at first, not second hand.",,
C,A man should be resigned to knowing himself a little better each day if he hasn't got the guts to put an end to his sniveling once and for all.,,
D,"A man should be taller, older, heavier, uglier, and hoarser than his wife.",,
